Passenger id,Survived,Pclass,Title,Last Name,First Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,,,,
26,1,3,Mrs,Asplund, Carl Oscar (Selma Augusta Emilia Johansson),female,38,1,5,347077,31.3875,,S,,,,
27,0,3,Mr,Emir, Farred Chehab,male,30,0,0,2631,7.225,,C,,,,
28,0,1,Mr,Fortune, Charles Alexander,male,19,3,2,19950,263,C23 C25 C27,S,,,,
29,1,3,Miss,O'Dwyer," Ellen ""Nellie""",female,30,0,0,330959,7.8792,,Q,,,,
30,0,3,Mr,Todoroff, Lalio,male,30,0,0,349216,7.8958,,S,,,,
31,0,1,Mr,Uruchurtu, Manuel E,male,40,0,0,PC 17601,27.7208,,C,,,,
32,1,1,Mrs,Spencer, William Augustus (Marie Eugenie),female,30,1,0,PC 17569,146.5208,B78,C,,,,
33,1,3,Miss,Glynn, Mary Agatha,female,30,0,0,335677,7.75,,Q,,,,
34,0,2,Mr,Wheadon, Edward H,male,66,0,0,C.A. 24579,10.5,,S,,,,
35,0,1,Mr,Meyer, Edgar Joseph,male,28,1,0,PC 17604,82.1708,,C,,,,
36,0,1,Mr,Holverson, Alexander Oskar,male,42,1,0,113789,52,,S,,,,
37,1,3,Mr,Mamee, Hanna,male,30,0,0,2677,7.2292,,C,,,,
38,0,3,Mr,Cann, Ernest Charles,male,21,0,0,A./5. 2152,8.05,,S,,,,
39,0,3,Miss,Vander Planke, Augusta Maria,female,18,2,0,345764,18,,S,,,,
40,1,3,Miss,Nicola-Yarred, Jamila,female,14,1,0,2651,11.2417,,C,,,,
41,0,3,Mrs,Ahlin, Johan (Johanna Persdotter Larsson),female,40,1,0,7546,9.475,,S,,,,
42,0,2,Mrs,Turpin, William John Robert (Dorothy Ann Wonnacott),female,27,1,0,11668,21,,S,,,,
43,0,3,Mr,Kraeff, Theodor,male,30,0,0,349253,7.8958,,C,,,,
44,1,2,Miss,Laroche, Simonne Marie Anne Andree,female,3,1,2,SC/Paris 2123,41.5792,,C,,,,
45,1,3,Miss,Devaney, Margaret Delia,female,19,0,0,330958,7.8792,,Q,,,,
46,0,3,Mr,Rogers, William John,male,30,0,0,S.C./A.4. 23567,8.05,,S,,,,
47,0,3,Mr,Lennon, Denis,male,30,1,0,370371,15.5,,Q,,,,
48,1,3,Miss,O'Driscoll, Bridget,female,30,0,0,14311,7.75,,Q,,,,
49,0,3,Mr,Samaan, Youssef,male,30,2,0,2662,21.6792,,C,,,,
50,0,3,Mrs,Arnold-Franchi, Josef (Josefine Franchi),female,18,1,0,349237,17.8,,S,,,,
51,0,3,Mr,Panula, Juha Niilo,male,7,4,1,3101295,39.6875,,S,,,,
52,0,3,Mr,Nosworthy, Richard Cater,male,21,0,0,A/4. 39886,7.8,,S,,,,
53,1,1,Mrs,Harper, Henry Sleeper (Myna Haxtun),female,49,1,0,PC 17572,76.7292,D33,C,,,,
54,1,2,Mrs,Faunthorpe, Lizzie (Elizabeth Anne Wilkinson),female,29,1,0,2926,26,,S,,,,
55,0,1,Mr,Ostby, Engelhart Cornelius,male,65,0,1,113509,61.9792,B30,C,,,,
56,1,1,Mr,Woolner, Hugh,male,30,0,0,19947,35.5,C52,S,,,,
57,1,2,Miss,Rugg, Emily,female,21,0,0,C.A. 31026,10.5,,S,,,,
58,0,3,Mr,Novel, Mansouer,male,28.5,0,0,2697,7.2292,,C,,,,
59,1,2,Miss,West, Constance Mirium,female,5,1,2,C.A. 34651,27.75,,S,,,,
60,0,3,Mr,Goodwin, William Frederick,male,11,5,2,CA 2144,46.9,,S,,,,
61,0,3,Mr,Sirayanian, Orsen,male,22,0,0,2669,7.2292,,C,,,,
62,1,1,Miss,Icard, Amelie,female,38,0,0,113572,80,B28,,,,,
63,0,1,Mr,Harris, Henry Birkhardt,male,45,1,0,36973,83.475,C83,S,,,,
64,0,3,Mr,Skoog, Harald,male,4,3,2,347088,27.9,,S,,,,
65,0,1,Mr,Stewart, Albert A,male,30,0,0,PC 17605,27.7208,,C,,,,
66,1,3,Mr,Moubarek, Gerios,male,30,1,1,2661,15.2458,,C,,,,
67,1,2,Mrs,Nye, (Elizabeth Ramell),female,29,0,0,C.A. 29395,10.5,F33,S,,,,
68,0,3,Mr,Crease, Ernest James,male,19,0,0,S.P. 3464,8.1583,,S,,,,
69,1,3,Miss,Andersson, Erna Alexandra,female,17,4,2,3101281,7.925,,S,,,,
70,0,3,Mr,Kink, Vincenz,male,26,2,0,315151,8.6625,,S,,,,
71,0,2,Mr,Jenkin, Stephen Curnow,male,32,0,0,C.A. 33111,10.5,,S,,,,
72,0,3,Miss,Goodwin, Lillian Amy,female,16,5,2,CA 2144,46.9,,S,,,,
73,0,2,Mr,Hood, Ambrose Jr,male,21,0,0,S.O.C. 14879,73.5,,S,,,,
74,0,3,Mr,Chronopoulos, Apostolos,male,26,1,0,2680,14.4542,,C,,,,
75,1,3,Mr,Bing, Lee,male,32,0,0,1601,56.4958,,S,,,,
76,0,3,Mr,Moen, Sigurd Hansen,male,25,0,0,348123,7.65,F G73,S,,,,
77,0,3,Mr,Staneff, Ivan,male,30,0,0,349208,7.8958,,S,,,,
78,0,3,Mr,Moutal, Rahamin Haim,male,30,0,0,374746,8.05,,S,,,,
79,1,2,Mr,Caldwell, Alden Gates,male,0.83,0,2,248738,29,,S,,,,
80,1,3,Miss,Dowdell, Elizabeth,female,30,0,0,364516,12.475,,S,,,,
81,0,3,Mr,Waelens, Achille,male,22,0,0,345767,9,,S,,,,
82,1,3,Mr,Sheerlinck, Jan Baptist,male,29,0,0,345779,9.5,,S,,,,
83,1,3,Miss,McDermott, Brigdet Delia,female,30,0,0,330932,7.7875,,Q,,,,
84,0,1,Mr,Carrau, Francisco M,male,28,0,0,113059,47.1,,S,,,,
85,1,2,Miss,Ilett, Bertha,female,17,0,0,SO/C 14885,10.5,,S,,,,
86,1,3,Mrs,Backstrom, Karl Alfred (Maria Mathilda Gustafsson),female,33,3,0,3101278,15.85,,S,,,,
87,0,3,Mr,Ford, William Neal,male,16,1,3,W./C. 6608,34.375,,S,,,,
88,0,3,Mr,Slocovski, Selman Francis,male,30,0,0,SOTON/OQ 392086,8.05,,S,,,,
89,1,1,Miss,Fortune, Mabel Helen,female,23,3,2,19950,263,C23 C25 C27,S,,,,
90,0,3,Mr,Celotti, Francesco,male,24,0,0,343275,8.05,,S,,,,
91,0,3,Mr,Christmann, Emil,male,29,0,0,343276,8.05,,S,,,,
92,0,3,Mr,Andreasson, Paul Edvin,male,20,0,0,347466,7.8542,,S,,,,
93,0,1,Mr,Chaffee, Herbert Fuller,male,46,1,0,W.E.P. 5734,61.175,E31,S,,,,
94,0,3,Mr,Dean, Bertram Frank,male,26,1,2,C.A. 2315,20.575,,S,,,,
95,0,3,Mr,Coxon, Daniel,male,59,0,0,364500,7.25,,S,,,,
96,0,3,Mr,Shorney, Charles Joseph,male,30,0,0,374910,8.05,,S,,,,
97,0,1,Mr,Goldschmidt, George B,male,71,0,0,PC 17754,34.6542,A5,C,,,,
98,1,1,Mr,Greenfield, William Bertram,male,23,0,1,PC 17759,63.3583,D10 D12,C,,,,
99,1,2,Mrs,Doling, John T (Ada Julia Bone),female,34,0,1,231919,23,,S,,,,
100,0,2,Mr,Kantor, Sinai,male,34,1,0,244367,26,,S,,,,
101,0,3,Miss,Petranec, Matilda,female,28,0,0,349245,7.8958,,S,,,,
102,0,3,Mr,Petroff," Pastcho (""Pentcho"")",male,30,0,0,349215,7.8958,,S,,,,
103,0,1,Mr,White, Richard Frasar,male,21,0,1,35281,77.2875,D26,S,,,,
104,0,3,Mr,Johansson, Gustaf Joel,male,33,0,0,7540,8.6542,,S,,,,
105,0,3,Mr,Gustafsson, Anders Vilhelm,male,37,2,0,3101276,7.925,,S,,,,
106,0,3,Mr,Mionoff, Stoytcho,male,28,0,0,349207,7.8958,,S,,,,
107,1,3,Miss,Salkjelsvik, Anna Kristine,female,21,0,0,343120,7.65,,S,,,,
108,1,3,Mr,Moss, Albert Johan,male,30,0,0,312991,7.775,,S,,,,
109,0,3,Mr,Rekic, Tido,male,38,0,0,349249,7.8958,,S,,,,
110,1,3,Miss,Moran, Bertha,female,30,1,0,371110,24.15,,Q,,,,
111,0,1,Mr,Porter, Walter Chamberlain,male,47,0,0,110465,52,C110,S,,,,
112,0,3,Miss,Zabour, Hileni,female,14.5,1,0,2665,14.4542,,C,,,,
113,0,3,Mr,Barton, David John,male,22,0,0,324669,8.05,,S,,,,
114,0,3,Miss,Jussila, Katriina,female,20,1,0,4136,9.825,,S,,,,
115,0,3,Miss,Attalah, Malake,female,17,0,0,2627,14.4583,,C,,,,
116,0,3,Mr,Pekoniemi, Edvard,male,21,0,0,STON/O 2. 3101294,7.925,,S,,,,
117,0,3,Mr,Connors, Patrick,male,70.5,0,0,370369,7.75,,Q,,,,
118,0,2,Mr,Turpin, William John Robert,male,29,1,0,11668,21,,S,,,,
119,0,1,Mr,Baxter, Quigg Edmond,male,24,0,1,PC 17558,247.5208,B58 B60,C,,,,
120,0,3,Miss,Andersson, Ellis Anna Maria,female,2,4,2,347082,31.275,,S,,,,
121,0,2,Mr,Hickman, Stanley George,male,21,2,0,S.O.C. 14879,73.5,,S,,,,
122,0,3,Mr,Moore, Leonard Charles,male,30,0,0,A4. 54510,8.05,,S,,,,
123,0,2,Mr,Nasser, Nicholas,male,32.5,1,0,237736,30.0708,,C,,,,
124,1,2,Miss,Webber, Susan,female,32.5,0,0,27267,13,E101,S,,,,
125,0,1,Mr,White, Percival Wayland,male,54,0,1,35281,77.2875,D26,S,,,,
126,1,3,Mr,Nicola-Yarred, Elias,male,12,1,0,2651,11.2417,,C,,,,
127,0,3,Mr,McMahon, Martin,male,30,0,0,370372,7.75,,Q,,,,
128,1,3,Mr,Madsen, Fridtjof Arne,male,24,0,0,C 17369,7.1417,,S,,,,
129,1,3,Miss,Peter, Anna,female,30,1,1,2668,22.3583,F E69,C,,,,
130,0,3,Mr,Ekstrom, Johan,male,45,0,0,347061,6.975,,S,,,,
131,0,3,Mr,Drazenoic, Jozef,male,33,0,0,349241,7.8958,,C,,,,
132,0,3,Mr,Coelho, Domingos Fernandeo,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,,,,
133,0,3,Mrs,Robins, Alexander A (Grace Charity Laury),female,47,1,0,A/5. 3337,14.5,,S,,,,
134,1,2,Mrs,Weisz, Leopold (Mathilde Francoise Pede),female,29,1,0,228414,26,,S,,,,
135,0,2,Mr,Sobey, Samuel James Hayden,male,25,0,0,C.A. 29178,13,,S,,,,
136,0,2,Mr,Richard, Emile,male,23,0,0,SC/PARIS 2133,15.0458,,C,,,,
137,1,1,Miss,Newsom, Helen Monypeny,female,19,0,2,11752,26.2833,D47,S,,,,
138,0,1,Mr,Futrelle, Jacques Heath,male,37,1,0,113803,53.1,C123,S,,,,
139,0,3,Mr,Osen, Olaf Elon,male,16,0,0,7534,9.2167,,S,,,,
140,0,1,Mr,Giglio, Victor,male,24,0,0,PC 17593,79.2,B86,C,,,,
141,0,3,Mrs,Boulos, Joseph (Sultana),female,30,0,2,2678,15.2458,,C,,,,
142,1,3,Miss,Nysten, Anna Sofia,female,22,0,0,347081,7.75,,S,,,,
143,1,3,Mrs,Hakkarainen, Pekka Pietari (Elin Matilda Dolck),female,24,1,0,STON/O2. 3101279,15.85,,S,,,,
144,0,3,Mr,Burke, Jeremiah,male,19,0,0,365222,6.75,,Q,,,,
145,0,2,Mr,Andrew, Edgardo Samuel,male,18,0,0,231945,11.5,,S,,,,
146,0,2,Mr,Nicholls, Joseph Charles,male,19,1,1,C.A. 33112,36.75,,S,,,,
147,1,3,Mr,Andersson," August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S,,,,
148,0,3,Miss,Ford," Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S,,,,
149,0,2,Mr,Navratil," Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S,,,,
150,0,2,Mr,Byles, Thomas Roussel Davids,male,42,0,0,244310,13,,S,,,,
151,0,2,Mr,Bateman, Robert James,male,51,0,0,S.O.P. 1166,12.525,,S,,,,
152,1,1,Mrs,Pears, Thomas (Edith Wearne),female,22,1,0,113776,66.6,C2,S,,,,
153,0,3,Mr,Meo, Alfonzo,male,55.5,0,0,A.5. 11206,8.05,,S,,,,
154,0,3,Mr,van Billiard, Austin Blyler,male,40.5,0,2,A/5. 851,14.5,,S,,,,
155,0,3,Mr,Olsen, Ole Martin,male,30,0,0,Fa 265302,7.3125,,S,,,,
156,0,1,Mr,Williams, Charles Duane,male,51,0,1,PC 17597,61.3792,,C,,,,
157,1,3,Miss,Gilnagh," Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,,,,
158,0,3,Mr,Corn, Harry,male,30,0,0,SOTON/OQ 392090,8.05,,S,,,,
159,0,3,Mr,Smiljanic, Mile,male,30,0,0,315037,8.6625,,S,,,,
160,0,3,Mr,Sage, Thomas Henry,male,30,8,2,CA. 2343,69.55,,S,,,,
161,0,3,Mr,Cribb, John Hatfield,male,44,0,1,371362,16.1,,S,,,,
162,1,2,Mrs,Watt," James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,,,,
163,0,3,Mr,Bengtsson, John Viktor,male,26,0,0,347068,7.775,,S,,,,
164,0,3,Mr,Calic, Jovo,male,17,0,0,315093,8.6625,,S,,,,
165,0,3,Mr,Panula, Eino Viljami,male,1,4,1,3101295,39.6875,,S,,,,
166,1,3,Mr,Goldsmith," Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S,,,,
167,1,1,Mrs,Chibnall, (Edith Martha Bowerman),female,30,0,1,113505,55,E33,S,,,,
168,0,3,Mrs,Skoog, William (Anna Bernhardina Karlsson),female,45,1,4,347088,27.9,,S,,,,
169,0,1,Mr,Baumann, John D,male,30,0,0,PC 17318,25.925,,S,,,,
170,0,3,Mr,Ling, Lee,male,28,0,0,1601,56.4958,,S,,,,
171,0,1,Mr,Van der hoef, Wyckoff,male,61,0,0,111240,33.5,B19,S,,,,
172,0,3,Mr,Rice, Arthur,male,4,4,1,382652,29.125,,Q,,,,
173,1,3,Miss,Johnson, Eleanor Ileen,female,1,1,1,347742,11.1333,,S,,,,
174,0,3,Mr,Sivola, Antti Wilhelm,male,21,0,0,STON/O 2. 3101280,7.925,,S,,,,
175,0,1,Mr,Smith, James Clinch,male,56,0,0,17764,30.6958,A7,C,,,,
176,0,3,Mr,Klasen, Klas Albin,male,18,1,1,350404,7.8542,,S,,,,
177,0,3,Mr,Lefebre, Henry Forbes,male,30,3,1,4133,25.4667,,S,,,,
178,0,1,Miss,Isham, Ann Elizabeth,female,50,0,0,PC 17595,28.7125,C49,C,,,,
179,0,2,Mr,Hale, Reginald,male,30,0,0,250653,13,,S,,,,
180,0,3,Mr,Leonard, Lionel,male,36,0,0,LINE,0,,S,,,,
181,0,3,Miss,Sage, Constance Gladys,female,30,8,2,CA. 2343,69.55,,S,,,,
182,0,2,Mr,Pernot, Rene,male,30,0,0,SC/PARIS 2131,15.05,,C,,,,
183,0,3,Mr,Asplund, Clarence Gustaf Hugo,male,9,4,2,347077,31.3875,,S,,,,
184,1,2,Mr,Becker, Richard F,male,1,2,1,230136,39,F4,S,,,,
185,1,3,Miss,Kink-Heilmann, Luise Gretchen,female,4,0,2,315153,22.025,,S,,,,
186,0,1,Mr,Rood, Hugh Roscoe,male,30,0,0,113767,50,A32,S,,,,
187,1,3,Mrs,O'Brien," Thomas (Johanna ""Hannah"" Godfrey)",female,30,1,0,370365,15.5,,Q,,,,
188,1,1,Mr,Romaine," Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,,S,,,,
189,0,3,Mr,Bourke, John,male,40,1,1,364849,15.5,,Q,,,,
190,0,3,Mr,Turcin, Stjepan,male,36,0,0,349247,7.8958,,S,,,,
191,1,2,Mrs,Pinsky, (Rosa),female,32,0,0,234604,13,,S,,,,
192,0,2,Mr,Carbines, William,male,19,0,0,28424,13,,S,,,,
193,1,3,Miss,Andersen-Jensen, Carla Christine Nielsine,female,19,1,0,350046,7.8542,,S,,,,
194,1,2,Mr,Navratil, Michel M,male,3,1,1,230080,26,F2,S,,,,
195,1,1,Mrs,Brown, James Joseph (Margaret Tobin),female,44,0,0,PC 17610,27.7208,B4,C,,,,
196,1,1,Miss,Lurette, Elise,female,58,0,0,PC 17569,146.5208,B80,C,,,,
197,0,3,Mr,Mernagh, Robert,male,30,0,0,368703,7.75,,Q,,,,
198,0,3,Mr,Olsen, Karl Siegwart Andreas,male,42,0,1,4579,8.4042,,S,,,,
199,1,3,Miss,Madigan," Margaret ""Maggie""",female,30,0,0,370370,7.75,,Q,,,,
200,0,2,Mrs,Yrois," Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,,S,,,,
201,0,3,Mr,Vande Walle, Nestor Cyriel,male,28,0,0,345770,9.5,,S,,,,
202,0,3,Mr,Sage, Frederick,male,30,8,2,CA. 2343,69.55,,S,,,,
203,0,3,Mr,Johanson, Jakob Alfred,male,34,0,0,3101264,6.4958,,S,,,,
204,0,3,Mr,Youseff, Gerious,male,45.5,0,0,2628,7.225,,C,,,,
205,1,3,Mr,Cohen," Gurshon ""Gus""",male,18,0,0,A/5 3540,8.05,,S,,,,
206,0,3,Miss,Strom, Telma Matilda,female,2,0,1,347054,10.4625,G6,S,,,,
207,0,3,Mr,Backstrom, Karl Alfred,male,32,1,0,3101278,15.85,,S,,,,
208,1,3,Mr,Albimona, Nassef Cassem,male,26,0,0,2699,18.7875,,C,,,,
209,1,3,Miss,Carr," Helen ""Ellen""",female,16,0,0,367231,7.75,,Q,,,,
210,1,1,Mr,Blank, Henry,male,40,0,0,112277,31,A31,C,,,,
211,0,3,Mr,Ali, Ahmed,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,,,,
212,1,2,Miss,Cameron, Clear Annie,female,35,0,0,F.C.C. 13528,21,,S,,,,
213,0,3,Mr,Perkin, John Henry,male,22,0,0,A/5 21174,7.25,,S,,,,
214,0,2,Mr,Givard, Hans Kristensen,male,30,0,0,250646,13,,S,,,,
215,0,3,Mr,Kiernan, Philip,male,30,1,0,367229,7.75,,Q,,,,
216,1,1,Miss,Newell, Madeleine,female,31,1,0,35273,113.275,D36,C,,,,
217,1,3,Miss,Honkanen, Eliina,female,27,0,0,STON/O2. 3101283,7.925,,S,,,,
218,0,2,Mr,Jacobsohn, Sidney Samuel,male,42,1,0,243847,27,,S,,,,
219,1,1,Miss,Bazzani, Albina,female,32,0,0,11813,76.2917,D15,C,,,,
220,0,2,Mr,Harris, Walter,male,30,0,0,W/C 14208,10.5,,S,,,,
221,1,3,Mr,Sunderland, Victor Francis,male,16,0,0,SOTON/OQ 392089,8.05,,S,,,,
222,0,2,Mr,Bracken, James H,male,27,0,0,220367,13,,S,,,,
223,0,3,Mr,Green, George Henry,male,51,0,0,21440,8.05,,S,,,,
224,0,3,Mr,Nenkoff, Christo,male,30,0,0,349234,7.8958,,S,,,,
225,1,1,Mr,Hoyt, Frederick Maxfield,male,38,1,0,19943,90,C93,S,,,,
226,0,3,Mr,Berglund, Karl Ivar Sven,male,22,0,0,PP 4348,9.35,,S,,,,
227,1,2,Mr,Mellors, William John,male,19,0,0,SW/PP 751,10.5,,S,,,,
228,0,3,Mr,Lovell," John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S,,,,
229,0,2,Mr,Fahlstrom, Arne Jonas,male,18,0,0,236171,13,,S,,,,
230,0,3,Miss,Lefebre, Mathilde,female,30,3,1,4133,25.4667,,S,,,,
231,1,1,Mrs,Harris, Henry Birkhardt (Irene Wallach),female,35,1,0,36973,83.475,C83,S,,,,
232,0,3,Mr,Larsson, Bengt Edvin,male,29,0,0,347067,7.775,,S,,,,
233,0,2,Mr,Sjostedt, Ernst Adolf,male,59,0,0,237442,13.5,,S,,,,
234,1,3,Miss,Asplund, Lillian Gertrud,female,5,4,2,347077,31.3875,,S,,,,
235,0,2,Mr,Leyson, Robert William Norman,male,24,0,0,C.A. 29566,10.5,,S,,,,
236,0,3,Miss,Harknett, Alice Phoebe,female,30,0,0,W./C. 6609,7.55,,S,,,,
237,0,2,Mr,Hold, Stephen,male,44,1,0,26707,26,,S,,,,
238,1,2,Miss,Collyer," Marjorie ""Lottie""",female,8,0,2,C.A. 31921,26.25,,S,,,,
239,0,2,Mr,Pengelly, Frederick William,male,19,0,0,28665,10.5,,S,,,,
240,0,2,Mr,Hunt, George Henry,male,33,0,0,SCO/W 1585,12.275,,S,,,,
241,0,3,Miss,Zabour, Thamine,female,30,1,0,2665,14.4542,,C,,,,
242,1,3,Miss,Murphy," Katherine ""Kate""",female,30,1,0,367230,15.5,,Q,,,,
243,0,2,Mr,Coleridge, Reginald Charles,male,29,0,0,W./C. 14263,10.5,,S,,,,
244,0,3,Mr,Maenpaa, Matti Alexanteri,male,22,0,0,STON/O 2. 3101275,7.125,,S,,,,
245,0,3,Mr,Attalah, Sleiman,male,30,0,0,2694,7.225,,C,,,,
246,0,1,Mr,Minahan, William Edward,male,44,2,0,19928,90,C78,Q,,,,
247,0,3,Miss,Lindahl, Agda Thorilda Viktoria,female,25,0,0,347071,7.775,,S,,,,
248,1,2,Mrs,Hamalainen, William (Anna),female,24,0,2,250649,14.5,,S,,,,
249,1,1,Mr,Beckwith, Richard Leonard,male,37,1,1,11751,52.5542,D35,S,,,,
250,0,2,Mr,Carter, Ernest Courtenay,male,54,1,0,244252,26,,S,,,,
251,0,3,Mr,Reed, James George,male,30,0,0,362316,7.25,,S,,,,
252,0,3,Mrs,Strom, Wilhelm (Elna Matilda Persson),female,29,1,1,347054,10.4625,G6,S,,,,
253,0,1,Mr,Stead, William Thomas,male,62,0,0,113514,26.55,C87,S,,,,
254,0,3,Mr,Lobb, William Arthur,male,30,1,0,A/5. 3336,16.1,,S,,,,
255,0,3,Mrs,Rosblom, Viktor (Helena Wilhelmina),female,41,0,2,370129,20.2125,,S,,,,
256,1,3,Mrs,Touma, Darwis (Hanne Youssef Razi),female,29,0,2,2650,15.2458,,C,,,,
257,1,1,Miss,Thorne, Gertrude Maybelle,female,30,0,0,PC 17585,79.2,,C,,,,
258,1,1,Miss,Cherry, Gladys,female,30,0,0,110152,86.5,B77,S,,,,
259,1,1,Miss,Ward, Anna,female,35,0,0,PC 17755,512.3292,,C,,,,
260,1,2,Mrs,Parrish, (Lutie Davis),female,50,0,1,230433,26,,S,,,,
261,0,3,Mr,Smith, Thomas,male,30,0,0,384461,7.75,,Q,,,,
262,1,3,Mr,Asplund, Edvin Rojj Felix,male,3,4,2,347077,31.3875,,S,,,,
263,0,1,Mr,Taussig, Emil,male,52,1,1,110413,79.65,E67,S,,,,
264,0,1,Mr,Harrison, William,male,40,0,0,112059,0,B94,S,,,,
265,0,3,Miss,Henry, Delia,female,30,0,0,382649,7.75,,Q,,,,
266,0,2,Mr,Reeves, David,male,36,0,0,C.A. 17248,10.5,,S,,,,
267,0,3,Mr,Panula, Ernesti Arvid,male,16,4,1,3101295,39.6875,,S,,,,
268,1,3,Mr,Persson, Ernst Ulrik,male,25,1,0,347083,7.775,,S,,,,
269,1,1,Mrs,Graham, William Thompson (Edith Junkins),female,58,0,1,PC 17582,153.4625,C125,S,,,,
270,1,1,Miss,Bissette, Amelia,female,35,0,0,PC 17760,135.6333,C99,S,,,,
271,0,1,Mr,Cairns, Alexander,male,30,0,0,113798,31,,S,,,,
272,1,3,Mr,Tornquist, William Henry,male,25,0,0,LINE,0,,S,,,,
273,1,2,Mrs,Mellinger, (Elizabeth Anne Maidment),female,41,0,1,250644,19.5,,S,,,,
274,0,1,Mr,Natsch, Charles H,male,37,0,1,PC 17596,29.7,C118,C,,,,
275,1,3,Miss,Healy," Hanora ""Nora""",female,30,0,0,370375,7.75,,Q,,,,
276,1,1,Miss,Andrews, Kornelia Theodosia,female,63,1,0,13502,77.9583,D7,S,,,,
277,0,3,Miss,Lindblom, Augusta Charlotta,female,45,0,0,347073,7.75,,S,,,,
278,0,2,Mr,Parkes," Francis ""Frank""",male,30,0,0,239853,0,,S,,,,
279,0,3,Mr,Rice, Eric,male,7,4,1,382652,29.125,,Q,,,,
280,1,3,Mrs,Abbott, Stanton (Rosa Hunt),female,35,1,1,C.A. 2673,20.25,,S,,,,
281,0,3,Mr,Duane, Frank,male,65,0,0,336439,7.75,,Q,,,,
282,0,3,Mr,Olsson, Nils Johan Goransson,male,28,0,0,347464,7.8542,,S,,,,
283,0,3,Mr,de Pelsmaeker, Alfons,male,16,0,0,345778,9.5,,S,,,,
284,1,3,Mr,Dorking, Edward Arthur,male,19,0,0,A/5. 10482,8.05,,S,,,,
285,0,1,Mr,Smith, Richard William,male,30,0,0,113056,26,A19,S,,,,
286,0,3,Mr,Stankovic, Ivan,male,33,0,0,349239,8.6625,,C,,,,
287,1,3,Mr,de Mulder, Theodore,male,30,0,0,345774,9.5,,S,,,,
288,0,3,Mr,Naidenoff, Penko,male,22,0,0,349206,7.8958,,S,,,,
289,1,2,Mr,Hosono, Masabumi,male,42,0,0,237798,13,,S,,,,
290,1,3,Miss,Connolly, Kate,female,22,0,0,370373,7.75,,Q,,,,
